municipio_codigo,municipio_nombre,distrito_codigo,distrito_nombre,barrio_codigo,barrio_nombre,sexo,nacionalidad,poblacion_empadronada
79,Madrid,79601,Centro,796011,Palacio,Hombre,Africa,163
79,Madrid,79601,Centro,796011,Palacio,Hombre,América Central y del Caribe,83
79,Madrid,79601,Centro,796011,Palacio,Hombre,América del Norte,169
79,Madrid,79601,Centro,796011,Palacio,Hombre,América del Sur,384
79,Madrid,79601,Centro,796011,Palacio,Hombre,Apátridas,1
79,Madrid,79601,Centro,796011,Palacio,Hombre,Asia,251
79,Madrid,79601,Centro,796011,Palacio,Hombre,Oceanía,9
79,Madrid,79601,Centro,796011,Palacio,Hombre,Otros países de América,0
79,Madrid,79601,Centro,796011,Palacio,Hombre,Resto de Europa,47
79,Madrid,79601,Centro,796011,Palacio,Hombre,Unión Europea,9714
79,Madrid,79601,Centro,796011,Palacio,Mujer,Africa,56
79,Madrid,79601,Centro,796011,Palacio,Mujer,América Central y del Caribe,101
79,Madrid,79601,Centro,796011,Palacio,Mujer,América del Norte,221
79,Madrid,79601,Centro,796011,Palacio,Mujer,América del Sur,386
79,Madrid,79601,Centro,796011,Palacio,Mujer,Apátridas,0
79,Madrid,79601,Centro,796011,Palacio,Mujer,Asia,272
79,Madrid,79601,Centro,796011,Palacio,Mujer,Oceanía,13
79,Madrid,79601,Centro,796011,Palacio,Mujer,Otros países de América,0
79,Madrid,79601,Centro,796011,Palacio,Mujer,Resto de Europa,84
79,Madrid,79601,Centro,796011,Palacio,Mujer,Unión Europea,10418
79,Madrid,79601,Centro,796012,Embajadores,Hombre,Africa,1010
79,Madrid,79601,Centro,796012,Embajadores,Hombre,América Central y del Caribe,172
79,Madrid,79601,Centro,796012,Embajadores,Hombre,América del Norte,279
79,Madrid,79601,Centro,796012,Embajadores,Hombre,América del Sur,981
79,Madrid,79601,Centro,796012,Embajadores,Hombre,Apátridas,3
79,Madrid,79601,Centro,796012,Embajadores,Hombre,Asia,2544
79,Madrid,79601,Centro,796012,Embajadores,Hombre,Oceanía,13
79,Madrid,79601,Centro,796012,Embajadores,Hombre,Otros países de América,0
79,Madrid,79601,Centro,796012,Embajadores,Hombre,Resto de Europa,82
79,Madrid,79601,Centro,796012,Embajadores,Hombre,Unión Europea,17870
79,Madrid,79601,Centro,796012,Embajadores,Mujer,Africa,422
79,Madrid,79601,Centro,796012,Embajadores,Mujer,América Central y del Caribe,206
79,Madrid,79601,Centro,796012,Embajadores,Mujer,América del Norte,350
79,Madrid,79601,Centro,796012,Embajadores,Mujer,América del Sur,892
79,Madrid,79601,Centro,796012,Embajadores,Mujer,Apátridas,0
79,Madrid,79601,Centro,796012,Embajadores,Mujer,Asia,974
79,Madrid,79601,Centro,796012,Embajadores,Mujer,Oceanía,17
79,Madrid,79601,Centro,796012,Embajadores,Mujer,Otros países de América,0
79,Madrid,79601,Centro,796012,Embajadores,Mujer,Resto de Europa,126
79,Madrid,79601,Centro,796012,Embajadores,Mujer,Unión Europea,18705
79,Madrid,79601,Centro,796013,Cortes,Hombre,Africa,82
79,Madrid,79601,Centro,796013,Cortes,Hombre,América Central y del Caribe,35
79,Madrid,79601,Centro,796013,Cortes,Hombre,América del Norte,115
79,Madrid,79601,Centro,796013,Cortes,Hombre,América del Sur,215
79,Madrid,79601,Centro,796013,Cortes,Hombre,Apátridas,0
79,Madrid,79601,Centro,796013,Cortes,Hombre,Asia,138
79,Madrid,79601,Centro,796013,Cortes,Hombre,Oceanía,6
79,Madrid,79601,Centro,796013,Cortes,Hombre,Otros países de América,0
79,Madrid,79601,Centro,796013,Cortes,Hombre,Resto de Europa,23
79,Madrid,79601,Centro,796013,Cortes,Hombre,Unión Europea,4624
