municipio_codigo;municipio_nombre;sexo;nacionalidad;poblacion_empadronada
006;Alcobendas;Mujer;Otros países de América;0
006;Alcobendas;Mujer;Resto de Europa;586
006;Alcobendas;Mujer;Unión Europea;53760
007;Alcorcón;Hombre;Africa;1818
007;Alcorcón;Hombre;América Central y del Caribe;413
007;Alcorcón;Hombre;América del Norte;45
007;Alcorcón;Hombre;América del Sur;1574
007;Alcorcón;Hombre;Apátridas;0
007;Alcorcón;Hombre;Asia;731
007;Alcorcón;Hombre;Oceanía;1
007;Alcorcón;Hombre;Otros países de América;0
007;Alcorcón;Hombre;Resto de Europa;961
007;Alcorcón;Hombre;Unión Europea;75692
007;Alcorcón;Mujer;Africa;1393
007;Alcorcón;Mujer;América Central y del Caribe;645
007;Alcorcón;Mujer;América del Norte;63
007;Alcorcón;Mujer;América del Sur;1908
007;Alcorcón;Mujer;Apátridas;0
007;Alcorcón;Mujer;Asia;624
007;Alcorcón;Mujer;Oceanía;1
007;Alcorcón;Mujer;Otros países de América;0
007;Alcorcón;Mujer;Resto de Europa;1156
007;Alcorcón;Mujer;Unión Europea;81116
008;Aldea del Fresno;Hombre;Africa;141
008;Aldea del Fresno;Hombre;América Central y del Caribe;5
008;Aldea del Fresno;Hombre;América del Norte;3
008;Aldea del Fresno;Hombre;América del Sur;15
008;Aldea del Fresno;Hombre;Apátridas;0
008;Aldea del Fresno;Hombre;Asia;4
008;Aldea del Fresno;Hombre;Oceanía;0
008;Aldea del Fresno;Hombre;Otros países de América;0
008;Aldea del Fresno;Hombre;Resto de Europa;8
008;Aldea del Fresno;Hombre;Unión Europea;1201
008;Aldea del Fresno;Mujer;Africa;121
008;Aldea del Fresno;Mujer;América Central y del Caribe;3
008;Aldea del Fresno;Mujer;América del Norte;1
008;Aldea del Fresno;Mujer;América del Sur;10
008;Aldea del Fresno;Mujer;Apátridas;0
008;Aldea del Fresno;Mujer;Asia;3
008;Aldea del Fresno;Mujer;Oceanía;0
008;Aldea del Fresno;Mujer;Otros países de América;0
008;Aldea del Fresno;Mujer;Resto de Europa;10
008;Aldea del Fresno;Mujer;Unión Europea;1091
009;Algete;Hombre;Africa;129
009;Algete;Hombre;América Central y del Caribe;42
009;Algete;Hombre;América del Norte;8
009;Algete;Hombre;América del Sur;200
009;Algete;Hombre;Apátridas;0
009;Algete;Hombre;Asia;163
009;Algete;Hombre;Oceanía;0
009;Algete;Hombre;Otros países de América;0
009;Algete;Hombre;Resto de Europa;30
009;Algete;Hombre;Unión Europea;9550
009;Algete;Mujer;Africa;101
009;Algete;Mujer;América Central y del Caribe;65
009;Algete;Mujer;América del Norte;28
009;Algete;Mujer;América del Sur;244
009;Algete;Mujer;Apátridas;0
009;Algete;Mujer;Asia;69
009;Algete;Mujer;Oceanía;1
009;Algete;Mujer;Otros países de América;0
009;Algete;Mujer;Resto de Europa;50
009;Algete;Mujer;Unión Europea;9739
010;Alpedrete;Hombre;Africa;76
010;Alpedrete;Hombre;América Central y del Caribe;26
010;Alpedrete;Hombre;América del Norte;14
010;Alpedrete;Hombre;América del Sur;84
010;Alpedrete;Hombre;Apátridas;0
010;Alpedrete;Hombre;Asia;23
010;Alpedrete;Hombre;Oceanía;0
010;Alpedrete;Hombre;Otros países de América;0
010;Alpedrete;Hombre;Resto de Europa;9
010;Alpedrete;Hombre;Unión Europea;6748
010;Alpedrete;Mujer;Africa;53
010;Alpedrete;Mujer;América Central y del Caribe;43
010;Alpedrete;Mujer;América del Norte;23
010;Alpedrete;Mujer;América del Sur;124
010;Alpedrete;Mujer;Apátridas;0
010;Alpedrete;Mujer;Asia;20
010;Alpedrete;Mujer;Oceanía;0
010;Alpedrete;Mujer;Otros países de América;0
010;Alpedrete;Mujer;Resto de Europa;23
010;Alpedrete;Mujer;Unión Europea;6974
011;Ambite;Hombre;Africa;21
011;Ambite;Hombre;América Central y del Caribe;0
011;Ambite;Hombre;América del Norte;0
011;Ambite;Hombre;América del Sur;3
011;Ambite;Hombre;Apátridas;0
011;Ambite;Hombre;Asia;23
011;Ambite;Hombre;Oceanía;0
011;Ambite;Hombre;Otros países de América;0
011;Ambite;Hombre;Resto de Europa;22
011;Ambite;Hombre;Unión Europea;283
011;Ambite;Mujer;Africa;0
011;Ambite;Mujer;América Central y del Caribe;2
011;Ambite;Mujer;América del Norte;0
011;Ambite;Mujer;América del Sur;2
011;Ambite;Mujer;Apátridas;0
011;Ambite;Mujer;Asia;19
011;Ambite;Mujer;Oceanía;0
011;Ambite;Mujer;Otros países de América;0
011;Ambite;Mujer;Resto de Europa;21
011;Ambite;Mujer;Unión Europea;281
012;Anchuelo;Hombre;Africa;1
012;Anchuelo;Hombre;América Central y del Caribe;3
012;Anchuelo;Hombre;América del Norte;0
012;Anchuelo;Hombre;América del Sur;10
012;Anchuelo;Hombre;Apátridas;0
012;Anchuelo;Hombre;Asia;1
012;Anchuelo;Hombre;Oceanía;0
012;Anchuelo;Hombre;Otros países de América;0
012;Anchuelo;Hombre;Resto de Europa;3
012;Anchuelo;Hombre;Unión Europea;629
012;Anchuelo;Mujer;Africa;1
012;Anchuelo;Mujer;América Central y del Caribe;6
012;Anchuelo;Mujer;América del Norte;0
012;Anchuelo;Mujer;América del Sur;14
012;Anchuelo;Mujer;Apátridas;0
012;Anchuelo;Mujer;Asia;4
012;Anchuelo;Mujer;Oceanía;0
012;Anchuelo;Mujer;Otros países de América;0
012;Anchuelo;Mujer;Resto de Europa;7
012;Anchuelo;Mujer;Unión Europea;559
013;Aranjuez;Hombre;Africa;893
013;Aranjuez;Hombre;América Central y del Caribe;72
013;Aranjuez;Hombre;América del Norte;30
013;Aranjuez;Hombre;América del Sur;563
013;Aranjuez;Hombre;Apátridas;6
013;Aranjuez;Hombre;Asia;165
013;Aranjuez;Hombre;Oceanía;2
013;Aranjuez;Hombre;Otros países de América;0
013;Aranjuez;Hombre;Resto de Europa;45
013;Aranjuez;Hombre;Unión Europea;26611
013;Aranjuez;Mujer;Africa;765
013;Aranjuez;Mujer;América Central y del Caribe;108
013;Aranjuez;Mujer;América del Norte;34
013;Aranjuez;Mujer;América del Sur;689
013;Aranjuez;Mujer;Apátridas;0
013;Aranjuez;Mujer;Asia;171
013;Aranjuez;Mujer;Oceanía;0
013;Aranjuez;Mujer;Otros países de América;0
013;Aranjuez;Mujer;Resto de Europa;81
013;Aranjuez;Mujer;Unión Europea;27978
014;Arganda del Rey;Hombre;Africa;240
014;Arganda del Rey;Hombre;América Central y del Caribe;56
014;Arganda del Rey;Hombre;América del Norte;20
014;Arganda del Rey;Hombre;América del Sur;300
014;Arganda del Rey;Hombre;Apátridas;0
014;Arganda del Rey;Hombre;Asia;507
014;Arganda del Rey;Hombre;Oceanía;2
014;Arganda del Rey;Hombre;Otros países de América;0
014;Arganda del Rey;Hombre;Resto de Europa;79
014;Arganda del Rey;Hombre;Unión Europea;25802
014;Arganda del Rey;Mujer;Africa;212
014;Arganda del Rey;Mujer;América Central y del Caribe;90
014;Arganda del Rey;Mujer;América del Norte;17
014;Arganda del Rey;Mujer;América del Sur;363
014;Arganda del Rey;Mujer;Apátridas;0
014;Arganda del Rey;Mujer;Asia;281
014;Arganda del Rey;Mujer;Oceanía;2
014;Arganda del Rey;Mujer;Otros países de América;0
014;Arganda del Rey;Mujer;Resto de Europa;104
014;Arganda del Rey;Mujer;Unión Europea;25746
015;Arroyomolinos;Hombre;Africa;141
015;Arroyomolinos;Hombre;América Central y del Caribe;23
015;Arroyomolinos;Hombre;América del Norte;13
015;Arroyomolinos;Hombre;América del Sur;132
015;Arroyomolinos;Hombre;Apátridas;0
015;Arroyomolinos;Hombre;Asia;121
015;Arroyomolinos;Hombre;Oceanía;1
015;Arroyomolinos;Hombre;Otros países de América;0
015;Arroyomolinos;Hombre;Resto de Europa;16
015;Arroyomolinos;Hombre;Unión Europea;14177
015;Arroyomolinos;Mujer;Africa;152
015;Arroyomolinos;Mujer;América Central y del Caribe;45
015;Arroyomolinos;Mujer;América del Norte;20
015;Arroyomolinos;Mujer;América del Sur;224
015;Arroyomolinos;Mujer;Apátridas;0
015;Arroyomolinos;Mujer;Asia;120
015;Arroyomolinos;Mujer;Oceanía;0
015;Arroyomolinos;Mujer;Otros países de América;0
015;Arroyomolinos;Mujer;Resto de Europa;38
015;Arroyomolinos;Mujer;Unión Europea;13905
016;Atazar (El);Hombre;Africa;3
016;Atazar (El);Hombre;América Central y del Caribe;0
016;Atazar (El);Hombre;América del Norte;0
016;Atazar (El);Hombre;América del Sur;0
016;Atazar (El);Hombre;Apátridas;0
016;Atazar (El);Hombre;Asia;0
016;Atazar (El);Hombre;Oceanía;0
016;Atazar (El);Hombre;Otros países de América;0
016;Atazar (El);Hombre;Resto de Europa;0
016;Atazar (El);Hombre;Unión Europea;53
016;Atazar (El);Mujer;Africa;1
016;Atazar (El);Mujer;América Central y del Caribe;0
016;Atazar (El);Mujer;América del Norte;0
016;Atazar (El);Mujer;América del Sur;0
016;Atazar (El);Mujer;Apátridas;0
016;Atazar (El);Mujer;Asia;0
016;Atazar (El);Mujer;Oceanía;0
016;Atazar (El);Mujer;Otros países de América;0
016;Atazar (El);Mujer;Resto de Europa;0
016;Atazar (El);Mujer;Unión Europea;40
017;Batres;Hombre;Africa;3
017;Batres;Hombre;América Central y del Caribe;0
017;Batres;Hombre;América del Norte;2
017;Batres;Hombre;América del Sur;8
017;Batres;Hombre;Apátridas;0
017;Batres;Hombre;Asia;1
017;Batres;Hombre;Oceanía;0
017;Batres;Hombre;Otros países de América;0
017;Batres;Hombre;Resto de Europa;1
017;Batres;Hombre;Unión Europea;808
017;Batres;Mujer;Africa;3
017;Batres;Mujer;América Central y del Caribe;1
017;Batres;Mujer;América del Norte;1
017;Batres;Mujer;América del Sur;10
017;Batres;Mujer;Apátridas;0
017;Batres;Mujer;Asia;0
017;Batres;Mujer;Oceanía;0
017;Batres;Mujer;Otros países de América;0
017;Batres;Mujer;Resto de Europa;0
017;Batres;Mujer;Unión Europea;772
018;Becerril de la Sierra;Hombre;Africa;149
018;Becerril de la Sierra;Hombre;América Central y del Caribe;6
018;Becerril de la Sierra;Hombre;América del Norte;4
018;Becerril de la Sierra;Hombre;América del Sur;59
018;Becerril de la Sierra;Hombre;Apátridas;0
018;Becerril de la Sierra;Hombre;Asia;7
018;Becerril de la Sierra;Hombre;Oceanía;0
018;Becerril de la Sierra;Hombre;Otros países de América;0
018;Becerril de la Sierra;Hombre;Resto de Europa;0
018;Becerril de la Sierra;Hombre;Unión Europea;2485
018;Becerril de la Sierra;Mujer;Africa;135
018;Becerril de la Sierra;Mujer;América Central y del Caribe;8
018;Becerril de la Sierra;Mujer;América del Norte;1
018;Becerril de la Sierra;Mujer;América del Sur;79
018;Becerril de la Sierra;Mujer;Apátridas;0
018;Becerril de la Sierra;Mujer;Asia;9
018;Becerril de la Sierra;Mujer;Oceanía;0
018;Becerril de la Sierra;Mujer;Otros países de América;0
018;Becerril de la Sierra;Mujer;Resto de Europa;8
018;Becerril de la Sierra;Mujer;Unión Europea;2507
019;Belmonte de Tajo;Hombre;Africa;1
019;Belmonte de Tajo;Hombre;América Central y del Caribe;1
019;Belmonte de Tajo;Hombre;América del Norte;0
019;Belmonte de Tajo;Hombre;América del Sur;7
019;Belmonte de Tajo;Hombre;Apátridas;0
019;Belmonte de Tajo;Hombre;Asia;0
019;Belmonte de Tajo;Hombre;Oceanía;0
019;Belmonte de Tajo;Hombre;Otros países de América;0
019;Belmonte de Tajo;Hombre;Resto de Europa;3
019;Belmonte de Tajo;Hombre;Unión Europea;842
019;Belmonte de Tajo;Mujer;Africa;3
019;Belmonte de Tajo;Mujer;América Central y del Caribe;0
019;Belmonte de Tajo;Mujer;América del Norte;1
019;Belmonte de Tajo;Mujer;América del Sur;4
019;Belmonte de Tajo;Mujer;Apátridas;0
019;Belmonte de Tajo;Mujer;Asia;0
019;Belmonte de Tajo;Mujer;Oceanía;0
019;Belmonte de Tajo;Mujer;Otros países de América;0
019;Belmonte de Tajo;Mujer;Resto de Europa;7
019;Belmonte de Tajo;Mujer;Unión Europea;759
021;Berrueco (El);Hombre;Africa;5
021;Berrueco (El);Hombre;América Central y del Caribe;0
021;Berrueco (El);Hombre;América del Norte;0
021;Berrueco (El);Hombre;América del Sur;1
021;Berrueco (El);Hombre;Apátridas;0
021;Berrueco (El);Hombre;Asia;1
021;Berrueco (El);Hombre;Oceanía;0
021;Berrueco (El);Hombre;Otros países de América;0
021;Berrueco (El);Hombre;Resto de Europa;0
021;Berrueco (El);Hombre;Unión Europea;377
021;Berrueco (El);Mujer;Africa;10
021;Berrueco (El);Mujer;América Central y del Caribe;1
021;Berrueco (El);Mujer;América del Norte;0
021;Berrueco (El);Mujer;América del Sur;3
021;Berrueco (El);Mujer;Apátridas;0
021;Berrueco (El);Mujer;Asia;1
021;Berrueco (El);Mujer;Oceanía;0
021;Berrueco (El);Mujer;Otros países de América;0
021;Berrueco (El);Mujer;Resto de Europa;0
021;Berrueco (El);Mujer;Unión Europea;344
020;Berzosa del Lozoya;Hombre;Africa;3
020;Berzosa del Lozoya;Hombre;América Central y del Caribe;0
020;Berzosa del Lozoya;Hombre;América del Norte;0
020;Berzosa del Lozoya;Hombre;América del Sur;2
020;Berzosa del Lozoya;Hombre;Apátridas;0
020;Berzosa del Lozoya;Hombre;Asia;0
020;Berzosa del Lozoya;Hombre;Oceanía;0
020;Berzosa del Lozoya;Hombre;Otros países de América;0
020;Berzosa del Lozoya;Hombre;Resto de Europa;0
020;Berzosa del Lozoya;Hombre;Unión Europea;115
020;Berzosa del Lozoya;Mujer;Africa;1
020;Berzosa del Lozoya;Mujer;América Central y del Caribe;0
020;Berzosa del Lozoya;Mujer;América del Norte;0
020;Berzosa del Lozoya;Mujer;América del Sur;2
020;Berzosa del Lozoya;Mujer;Apátridas;0
020;Berzosa del Lozoya;Mujer;Asia;0
020;Berzosa del Lozoya;Mujer;Oceanía;0
020;Berzosa del Lozoya;Mujer;Otros países de América;0
020;Berzosa del Lozoya;Mujer;Resto de Europa;0
020;Berzosa del Lozoya;Mujer;Unión Europea;80
022;Boadilla del Monte;Hombre;Africa;72
022;Boadilla del Monte;Hombre;América Central y del Caribe;52
022;Boadilla del Monte;Hombre;América del Norte;73
022;Boadilla del Monte;Hombre;América del Sur;364
022;Boadilla del Monte;Hombre;Apátridas;1
022;Boadilla del Monte;Hombre;Asia;133
022;Boadilla del Monte;Hombre;Oceanía;0
022;Boadilla del Monte;Hombre;Otros países de América;0
022;Boadilla del Monte;Hombre;Resto de Europa;33
022;Boadilla del Monte;Hombre;Unión Europea;24435
022;Boadilla del Monte;Mujer;Africa;69
022;Boadilla del Monte;Mujer;América Central y del Caribe;131
022;Boadilla del Monte;Mujer;América del Norte;111
022;Boadilla del Monte;Mujer;América del Sur;609
022;Boadilla del Monte;Mujer;Apátridas;1
022;Boadilla del Monte;Mujer;Asia;172
022;Boadilla del Monte;Mujer;Oceanía;1
022;Boadilla del Monte;Mujer;Otros países de América;0
022;Boadilla del Monte;Mujer;Resto de Europa;83
022;Boadilla del Monte;Mujer;Unión Europea;25123
023;Boalo (El);Hombre;Africa;104
023;Boalo (El);Hombre;América Central y del Caribe;0
023;Boalo (El);Hombre;América del Norte;4
023;Boalo (El);Hombre;América del Sur;53
023;Boalo (El);Hombre;Apátridas;1
023;Boalo (El);Hombre;Asia;9
023;Boalo (El);Hombre;Oceanía;0
023;Boalo (El);Hombre;Otros países de América;0
023;Boalo (El);Hombre;Resto de Europa;9
023;Boalo (El);Hombre;Unión Europea;3544
023;Boalo (El);Mujer;Africa;69
023;Boalo (El);Mujer;América Central y del Caribe;8
023;Boalo (El);Mujer;América del Norte;6
023;Boalo (El);Mujer;América del Sur;78
023;Boalo (El);Mujer;Apátridas;1
023;Boalo (El);Mujer;Asia;18
023;Boalo (El);Mujer;Oceanía;2
023;Boalo (El);Mujer;Otros países de América;0
023;Boalo (El);Mujer;Resto de Europa;11
023;Boalo (El);Mujer;Unión Europea;3441
024;Braojos;Hombre;Africa;4
024;Braojos;Hombre;América Central y del Caribe;0
024;Braojos;Hombre;América del Norte;1
024;Braojos;Hombre;América del Sur;0
024;Braojos;Hombre;Apátridas;0
024;Braojos;Hombre;Asia;0
024;Braojos;Hombre;Oceanía;0
024;Braojos;Hombre;Otros países de América;0
024;Braojos;Hombre;Resto de Europa;0
024;Braojos;Hombre;Unión Europea;117
024;Braojos;Mujer;Africa;2
024;Braojos;Mujer;América Central y del Caribe;0
024;Braojos;Mujer;América del Norte;0
024;Braojos;Mujer;América del Sur;1
024;Braojos;Mujer;Apátridas;0
024;Braojos;Mujer;Asia;0
024;Braojos;Mujer;Oceanía;0
024;Braojos;Mujer;Otros países de América;0
024;Braojos;Mujer;Resto de Europa;0
024;Braojos;Mujer;Unión Europea;83
025;Brea de Tajo;Hombre;Africa;14
025;Brea de Tajo;Hombre;América Central y del Caribe;1
025;Brea de Tajo;Hombre;América del Norte;0
025;Brea de Tajo;Hombre;América del Sur;6
025;Brea de Tajo;Hombre;Apátridas;0
025;Brea de Tajo;Hombre;Asia;0
025;Brea de Tajo;Hombre;Oceanía;0
025;Brea de Tajo;Hombre;Otros países de América;0
025;Brea de Tajo;Hombre;Resto de Europa;0
025;Brea de Tajo;Hombre;Unión Europea;287
025;Brea de Tajo;Mujer;Africa;2
025;Brea de Tajo;Mujer;América Central y del Caribe;0
025;Brea de Tajo;Mujer;América del Norte;1
025;Brea de Tajo;Mujer;América del Sur;7
025;Brea de Tajo;Mujer;Apátridas;0
025;Brea de Tajo;Mujer;Asia;0
025;Brea de Tajo;Mujer;Oceanía;0
025;Brea de Tajo;Mujer;Otros países de América;0
025;Brea de Tajo;Mujer;Resto de Europa;0
025;Brea de Tajo;Mujer;Unión Europea;221
026;Brunete;Hombre;Africa;171
026;Brunete;Hombre;América Central y del Caribe;10
026;Brunete;Hombre;América del Norte;4
026;Brunete;Hombre;América del Sur;90
026;Brunete;Hombre;Apátridas;0
026;Brunete;Hombre;Asia;28
026;Brunete;Hombre;Oceanía;0
026;Brunete;Hombre;Otros países de América;0
026;Brunete;Hombre;Resto de Europa;20
026;Brunete;Hombre;Unión Europea;4802
026;Brunete;Mujer;Africa;131
026;Brunete;Mujer;América Central y del Caribe;43
026;Brunete;Mujer;América del Norte;10
026;Brunete;Mujer;América del Sur;140
026;Brunete;Mujer;Apátridas;0
026;Brunete;Mujer;Asia;23
026;Brunete;Mujer;Oceanía;0
026;Brunete;Mujer;Otros países de América;0
026;Brunete;Mujer;Resto de Europa;32
026;Brunete;Mujer;Unión Europea;4869
027;Buitrago del Lozoya;Hombre;Africa;23
027;Buitrago del Lozoya;Hombre;América Central y del Caribe;2
027;Buitrago del Lozoya;Hombre;América del Norte;1
027;Buitrago del Lozoya;Hombre;América del Sur;7
027;Buitrago del Lozoya;Hombre;Apátridas;0
027;Buitrago del Lozoya;Hombre;Asia;8
027;Buitrago del Lozoya;Hombre;Oceanía;0
027;Buitrago del Lozoya;Hombre;Otros países de América;0
027;Buitrago del Lozoya;Hombre;Resto de Europa;4
027;Buitrago del Lozoya;Hombre;Unión Europea;842
027;Buitrago del Lozoya;Mujer;Africa;21
027;Buitrago del Lozoya;Mujer;América Central y del Caribe;6
027;Buitrago del Lozoya;Mujer;América del Norte;5
027;Buitrago del Lozoya;Mujer;América del Sur;20
027;Buitrago del Lozoya;Mujer;Apátridas;0
027;Buitrago del Lozoya;Mujer;Asia;3
027;Buitrago del Lozoya;Mujer;Oceanía;0
027;Buitrago del Lozoya;Mujer;Otros países de América;0
027;Buitrago del Lozoya;Mujer;Resto de Europa;9
027;Buitrago del Lozoya;Mujer;Unión Europea;903
028;Bustarviejo;Hombre;Africa;25
028;Bustarviejo;Hombre;América Central y del Caribe;4
028;Bustarviejo;Hombre;América del Norte;2
028;Bustarviejo;Hombre;América del Sur;11
028;Bustarviejo;Hombre;Apátridas;0
028;Bustarviejo;Hombre;Asia;1
028;Bustarviejo;Hombre;Oceanía;0
028;Bustarviejo;Hombre;Otros países de América;0
028;Bustarviejo;Hombre;Resto de Europa;9
028;Bustarviejo;Hombre;Unión Europea;1145
028;Bustarviejo;Mujer;Africa;28
028;Bustarviejo;Mujer;América Central y del Caribe;9
028;Bustarviejo;Mujer;América del Norte;3
028;Bustarviejo;Mujer;América del Sur;16
028;Bustarviejo;Mujer;Apátridas;0
028;Bustarviejo;Mujer;Asia;2
028;Bustarviejo;Mujer;Oceanía;0
028;Bustarviejo;Mujer;Otros países de América;0
028;Bustarviejo;Mujer;Resto de Europa;9
028;Bustarviejo;Mujer;Unión Europea;1135
029;Cabanillas de la Sierra;Hombre;Africa;1
029;Cabanillas de la Sierra;Hombre;América Central y del Caribe;0
029;Cabanillas de la Sierra;Hombre;América del Norte;0
029;Cabanillas de la Sierra;Hombre;América del Sur;1
029;Cabanillas de la Sierra;Hombre;Apátridas;0
029;Cabanillas de la Sierra;Hombre;Asia;2
029;Cabanillas de la Sierra;Hombre;Oceanía;0
029;Cabanillas de la Sierra;Hombre;Otros países de América;0
029;Cabanillas de la Sierra;Hombre;Resto de Europa;3
029;Cabanillas de la Sierra;Hombre;Unión Europea;364
029;Cabanillas de la Sierra;Mujer;Africa;3
029;Cabanillas de la Sierra;Mujer;América Central y del Caribe;1
029;Cabanillas de la Sierra;Mujer;América del Norte;2
029;Cabanillas de la Sierra;Mujer;América del Sur;4
029;Cabanillas de la Sierra;Mujer;Apátridas;0
029;Cabanillas de la Sierra;Mujer;Asia;4
029;Cabanillas de la Sierra;Mujer;Oceanía;0
029;Cabanillas de la Sierra;Mujer;Otros países de América;0
029;Cabanillas de la Sierra;Mujer;Resto de Europa;4
029;Cabanillas de la Sierra;Mujer;Unión Europea;323
030;Cabrera (La);Hombre;Africa;51
030;Cabrera (La);Hombre;América Central y del Caribe;4
030;Cabrera (La);Hombre;América del Norte;0
030;Cabrera (La);Hombre;América del Sur;17
030;Cabrera (La);Hombre;Apátridas;0
030;Cabrera (La);Hombre;Asia;6
030;Cabrera (La);Hombre;Oceanía;0
030;Cabrera (La);Hombre;Otros países de América;0
030;Cabrera (La);Hombre;Resto de Europa;30
030;Cabrera (La);Hombre;Unión Europea;1170
